en_term	no_term	policy	family	first_use	note
⿻	⿻	keep	plurality	3-0	Always the symbol, never spelled out. Screen readers get <span aria-label="Plurality">⿻</span>.
Plurality	pluralitet	gloss	plurality	1	Book title and the concept. Keep English on first use in each part, then pluralitet.
plural	mangfoldig	translate	plurality	1	Adjective. See note on the mangfold collision under Social Diversity.
⿻ Approach	⿻-tilnærmingen	translate	plurality-compound		⿻ compounds take a hyphen before the Norwegian noun.
⿻ Voting	⿻ Stemmegivning	translate	plurality-compound	5-6	Chapter 5-6 title. Registered in chapter-titles.tsv.
⿻ Publics	⿻ Offentligheter	translate	plurality-compound	4-2	Chapter 4-2 title.
⿻ Society	⿻-samfunnet	translate	plurality-compound		
⿻ Technology	⿻-teknologi	translate	plurality-compound		
⿻ Governance	⿻-styring	translate	plurality-compound		
⿻ Property	⿻-eiendom	translate	plurality-compound		
⿻ Funding	⿻-finansiering	translate	plurality-compound		
⿻ Identity	⿻-identitet	translate	plurality-compound		
⿻ Media	⿻-medier	translate	plurality-compound		
⿻ Good	⿻-gode	translate	plurality-compound		
⿻ Future	⿻-framtiden	translate	plurality-compound		
Quadratic Voting	Kvadratisk Stemmegivning	gloss	mechanism	2-2	Established: "Kvadratisk Stemmegivning (Quadratic Voting)" on first use.
Quadratic Funding	Kvadratisk Finansiering	gloss	mechanism		Parallel to Quadratic Voting; keep the pair consistent.
Approval Voting	godkjenningsvalg	translate	mechanism		
Prediction Market	prediksjonsmarked	translate	mechanism		
Sortition	loddtrekning	translate	mechanism		
Proportional Representation	forholdstallsvalg	translate	mechanism		
Social Welfare Function	sosial velferdsfunksjon	translate	mechanism		
Supermodularity	supermodularitet	translate	concept		
Emergence	emergens	translate	concept		
Deliberation	deliberasjon	translate	concept	2-2	Established in 2-2. Not "drøfting".
Augmented Deliberation	Utvidet deliberasjon	translate	concept	5-4	Chapter 5-4 title.
Civil Society	sivilsamfunn	translate	polity	2-1	Established in 2-1.
Democracy	demokrati	translate	polity		
Digital Democracy	digitalt demokrati	translate	polity	2-2	
Authoritarianism	autoritarianisme	translate	ideology		
Libertarianism	Libertarianisme	translate	ideology	3-0	Capitalised in source when naming the ideology as an actor; follow the English.
Technocracy	Teknokrati	translate	ideology	3-0	Paired with Libertarianisme throughout; translate the pair together.
Capitalism	kapitalisme	translate	ideology		
Socialism	sosialisme	translate	ideology		
Neoliberalism	nyliberalisme	translate	ideology		
Nationalism	nasjonalisme	translate	ideology		
Social Diversity	sosialt mangfold	translate	diversity		COLLISION: mangfold also renders "plural". Prefer mangfold for diversity; use mangfoldig for the adjective "plural".
Cultural Diversity	kulturelt mangfold	translate	diversity		
Biodiversity	biologisk mangfold	translate	diversity		
Social Difference	sosial forskjell	translate	diversity		
Heterogeneity	heterogenitet	translate	diversity		
Polarization	polarisering	translate	pathology	2-1	
Affective Polarization	affektiv polarisering	translate	pathology		
Political Polarization	politisk polarisering	translate	pathology		
Echo Chamber	ekkokammer	translate	pathology		
Digital Divide	digitalt skille	translate	pathology		
Surveillance	overvåking	translate	pathology		
Monopolization	monopolisering	translate	pathology		
